,quantity,price_usd,weight_lb,plu_code,product,date,city
0,271.0,3.1931656524073335,3.5820204568095506,3302,Apricot,an 23,Seattle
1,411.0,1.2147593744564802,13.848247816413641,3302,Apricot,an 23,Seattle
2,408.0,1.702615842409432,2.63941521239467,3302,Apricot,an 23,Seattle
3,500.0,2.472983029508032,8.896797795360909,3302,Apricot,an 23,Seattle
4,291.0,2.754125663498417,13.368662855681032,3302,Apricot,an 23,Seattle
5,206.0,1.1293359318049625,13.53634612816386,3302,Apricot,an 23,Seattle
6,292.0,2.8426095465081747,9.097572080185637,3302,Apricot,an 23,Seattle
7,291.0,3.1678295660647566,12.451117322873325,3302,Apricot,an 23,Seattle
8,181.0,3.0345223528682257,9.648501704819502,3302,Apricot,an 23,Seattle
9,361.0,1.1666376422625035,7.308439990459011,3302,Apricot,an 23,Seattle
10,323.0,2.6037667569005865,7.732853958616034,3302,Apricot,an 23,Seattle
11,137.0,0.9245935894548893,19.897039780300112,4011,Banana,an 23,Seattle
12,328.0,1.1530940958298743,19.371425439044835,4011,Banana,an 23,Seattle
13,215.0,2.491152375598904,7.10734752942808,4011,Banana,an 23,Seattle
14,360.0,0.9072411455679685,10.681510906340556,4011,Banana,an 23,Seattle
15,350.0,0.7437489271513187,16.4655472449027,4011,Banana,an 23,Seattle
16,345.0,2.8380419198772873,4.414207018725574,4011,Banana,an 23,Seattle
17,131.0,1.72366175778443,15.955282902531327,4011,Banana,an 23,Seattle
18,127.0,1.6636448359466158,15.528965916298331,4011,Banana,an 23,Seattle
19,100.0,1.5162423670524732,14.529338676389308,4011,Banana,an 23,Seattle
20,200.0,0.7213058013701812,17.93120624003932,4012,Orange,an 23,Seattle
21,383.0,1.9626420349930416,12.18368662572466,4012,Orange,an 23,Seattle
22,194.0,2.027617561526131,15.319946129526944,4012,Orange,an 23,Seattle
23,237.0,1.3679608544451185,15.288818388571963,4012,Orange,an 23,Seattle
24,310.0,1.2961179999518209,17.73259882470593,4012,Orange,an 23,Seattle
25,214.0,1.5305383153725416,7.488842759933323,4012,Orange,an 23,Seattle
26,170.0,1.0488019822048955,2.8935597778763626,4012,Orange,an 23,Seattle
27,460.0,1.3334474199917168,5.290785177517683,4012,Orange,an 23,Seattle
28,438.0,3.1338798615732233,11.29250653111376,4030,Kiwi,an 23,Seattle
29,205.0,2.7690033798688094,5.698432691488415,4030,Kiwi,an 23,Seattle
30,159.0,1.6943324835272506,12.57406314816326,4030,Kiwi,an 23,Seattle
31,218.0,2.178687193267979,4.65331904697232,4030,Kiwi,an 23,Seattle
32,139.0,1.677328731410671,11.508725403761492,4030,Kiwi,an 23,Seattle
33,340.0,1.5837612077128143,12.695395097509028,4030,Kiwi,an 23,Seattle
34,125.0,2.7813198054907846,3.751985006313771,4030,Kiwi,an 23,Seattle
35,227.0,0.5756052221520804,14.220804562745617,4030,Kiwi,an 23,Seattle
36,252.0,1.7732455771882087,13.814242281438784,4030,Kiwi,an 23,Seattle
37,107.0,1.5615819264319726,11.63999796002172,4030,Kiwi,an 23,Seattle
38,201.0,1.4027456573792734,18.816681922739374,4030,Kiwi,an 23,Seattle
39,481.0,2.4987670939415696,14.602743768412621,4062,Cucumber,an 23,Seattle
40,407.0,2.712042312033009,16.499754437152298,4062,Cucumber,an 23,Seattle
41,411.0,2.9721036126837137,7.186284055188299,4062,Cucumber,an 23,Seattle
42,159.0,2.6456848855712454,4.599037157231942,4078,Corn,an 23,Seattle
43,269.0,0.6936077121179551,13.401509729167447,4078,Corn,an 23,Seattle
44,135.0,2.4131492539425383,6.703388642938808,4078,Corn,an 23,Seattle
45,401.0,2.023463582864497,14.840292921662332,4078,Corn,an 23,Seattle
46,264.0,1.7476471273228527,20.585160283884036,4078,Corn,an 23,Seattle
47,112.0,1.780929451994598,5.373290446493775,4078,Corn,an 23,Seattle
48,451.0,1.4358896915335209,7.682099211029709,4081,Eggplant,an 23,Seattle
49,170.0,1.3809875608538278,20.979613198665902,4081,Eggplant,an 23,Seattle
50,380.0,2.7958074805326762,16.786492305109277,4081,Eggplant,an 23,Seattle
51,208.0,2.33175561898388,2.8416340968571605,4081,Eggplant,an 23,Seattle
52,407.0,2.177125918341335,3.3998485357966275,4081,Eggplant,an 23,Seattle
53,121.0,1.4720471839071252,16.602669955091553,4081,Eggplant,an 23,Seattle
54,180.0,1.5681589610292577,4.504672114271671,4081,Eggplant,an 23,Seattle
55,467.0,2.784646936412901,20.401768715074287,4081,Eggplant,an 23,Seattle
56,232.0,0.8110301077365876,19.813833360094577,4081,Eggplant,an 23,Seattle
57,302.0,2.0300334462779577,6.354036714415998,4081,Eggplant,an 23,Seattle
58,449.0,2.330766404117458,5.403496122779325,4081,Eggplant,an 23,Seattle
59,267.0,3.299160158331506,9.025198794994504,4081,Eggplant,an 23,Seattle
60,395.0,0.8128100467845798,14.540452217496933,4131,Apple (Fuji),an 23,Seattle
61,476.0,0.8567383780144155,10.32472408344038,4131,Apple (Fuji),an 23,Seattle
62,123.0,2.1961625281954187,20.173319798707965,4131,Apple (Fuji),an 23,Seattle
63,165.0,2.030934771243483,10.122818253422157,4131,Apple (Fuji),an 23,Seattle
64,264.0,1.4964973422000185,8.967296068510041,4131,Apple (Fuji),an 23,Seattle
65,446.0,2.2769912044866945,13.793018022691832,4131,Apple (Fuji),an 23,Seattle
66,275.0,1.946077055600472,15.815845142118635,4131,Apple (Fuji),an 23,Seattle
67,411.0,2.731788681482431,10.202940552355722,4131,Apple (Fuji),an 23,Seattle
68,428.0,2.992163095867727,10.224168794183061,4131,Apple (Fuji),an 23,Seattle
69,483.0,3.165179357759189,5.430239773821086,4131,Apple (Fuji),an 23,Seattle
70,467.0,3.2684586505172777,7.674777520960197,4131,Apple (Fuji),an 23,Seattle
71,479.0,1.2085579850361683,5.520613253908232,4131,Apple (Fuji),an 23,Seattle
72,436.0,1.05617554836208,18.475835272297264,4131,Apple (Fuji),an 23,Seattle
73,158.0,0.7205631439690479,10.526126855937765,4131,Apple (Fuji),an 23,Seattle
74,432.0,0.993689433624968,14.550382101442667,4134,Apple (Gala),an 23,Seattle
75,211.0,2.2784542726119983,17.017793153133244,4134,Apple (Gala),an 23,Seattle
76,361.0,1.4558971432968975,7.475467331660912,4134,Apple (Gala),an 23,Seattle
77,387.0,2.7409040398313667,17.87124102013186,4134,Apple (Gala),an 23,Seattle
78,462.0,2.684811241005082,21.857737534865738,4134,Apple (Gala),an 23,Seattle
79,495.0,0.969358556449879,13.588215124048293,4134,Apple (Gala),an 23,Seattle
80,426.0,0.6720660540857353,18.848697512596846,4134,Apple (Gala),an 23,Seattle
81,111.0,2.01850422519492,2.2289246318861844,4134,Apple (Gala),an 23,Seattle
82,235.0,3.092307526106015,13.45527757103555,4159,Onion,an 23,Seattle
83,144.0,0.9325467665446923,10.037885656533764,4159,Onion,an 23,Seattle
84,168.0,2.862028354208451,5.058238833164797,4159,Onion,an 23,Seattle
